"Status","Name","Duration in ms","Description"
"passed","testcase.test_excel_case.TestExcel#test_run","1083","<font color='red'>当前执行时间: </font> 2020-08-24 17:07:54<Br/><font color='red'>请求URL: </font> http://211.103.136.242:8064/authorizations/<Br/><font color='red'>请求类型: </font>POST<Br/><font color='red'>期望状态码: </font>200.0<Br/><font color='red'>实际状态码: </font>200<Br/><font color='red'>期望结果: </font>{'user_id': 1, 'username': 'python'}<Br/><font color='red'>实际结果: </font>{'token': 'eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjoxLCJlbWFpbCI6Ijk1MjY3MzYzOEBxcS5jb20iLCJ1c2VybmFtZSI6InB5dGhvbiIsImV4cCI6MTU5ODM0NTc1NH0.p3dDOPmD757JfGLHrwAMYy-j76b5l9w8sFlXg2DipUo',
 'user_id': 1,
 'username': 'python'}"
"passed","testcase.test_excel_case.TestExcel#test_run","16061","<font color='red'>当前执行时间: </font> 2020-08-24 17:08:10<Br/><font color='red'>请求URL: </font> http://211.103.136.242:8064/user/<Br/><font color='red'>请求类型: </font>get<Br/><font color='red'>期望状态码: </font>200.0<Br/><font color='red'>实际状态码: </font>200<Br/><font color='red'>期望结果: </font>{'email': '952673638@qq.com',
 'id': 1,
 'mobile': '17701397029',
 'username': 'python'}<Br/><font color='red'>实际结果: </font>{'email': '952673638@qq.com',
 'email_active': True,
 'id': 1,
 'mobile': '17701397029',
 'username': 'python'}"
"passed","testcase.test_excel_case.TestExcel#test_run","263","<font color='red'>当前执行时间: </font> 2020-08-24 17:08:11<Br/><font color='red'>请求URL: </font> http://211.103.136.242:8064/categories/115/skus/<Br/><font color='red'>请求类型: </font>get<Br/><font color='red'>期望状态码: </font>200.0<Br/><font color='red'>实际状态码: </font>200<Br/><font color='red'>期望结果: </font>{}<Br/><font color='red'>实际结果: </font>{'count': 14,
 'next': 'http://211.103.136.242:8064/categories/115/skus/?page=2',
 'previous': None,
 'results': [{'comments': 0,
              'default_image_url': 'http://172.17.0.139:804/group1/M00/00/02/CtM3BVrRZCqAUxp9AAFti6upbx41220032',
              'id': 3,
              'name': 'Apple iPhone 8 Plus (A1864) 64GB 金色 移动联通电信4G手机',
              'price': '6499.00'},
             {'comments': 0,
              'default_image_url': 'http://172.17.0.139:804/group1/M00/00/02/CtM3BVrRZa6ANO_sAAFti6upbx40753757',
              'id': 4,
              'name': 'Apple iPhone 8 Plus (A1864) 256GB 金色 移动联通电信4G手机',
              'price': '7988.00'}]}"
"passed","testcase.test_excel_case.TestExcel#test_run","154","<font color='red'>当前执行时间: </font> 2020-08-24 17:07:52<Br/><font color='red'>请求URL: </font> http://211.103.136.242:8064/authorizations/<Br/><font color='red'>请求类型: </font>POST<Br/><font color='red'>期望状态码: </font>400.0<Br/><font color='red'>实际状态码: </font>400<Br/><font color='red'>期望结果: </font>{'username': ['该字段不能为空。']}<Br/><font color='red'>实际结果: </font>{'username': ['该字段不能为空。']}"
"passed","testcase.test_excel_case.TestExcel#test_run","148","<font color='red'>当前执行时间: </font> 2020-08-24 17:07:54<Br/><font color='red'>请求URL: </font> http://211.103.136.242:8064/user/<Br/><font color='red'>请求类型: </font>get<Br/><font color='red'>期望状态码: </font>401.0<Br/><font color='red'>实际状态码: </font>401<Br/><font color='red'>期望结果: </font>{'detail': '身份认证信息未提供。'}<Br/><font color='red'>实际结果: </font>{'detail': '身份认证信息未提供。'}"
"passed","testcase.test_excel_case.TestExcel#test_run","1099","<font color='red'>当前执行时间: </font> 2020-08-24 17:08:12<Br/><font color='red'>请求URL: </font> http://211.103.136.242:8064/cart/<Br/><font color='red'>请求类型: </font>post<Br/><font color='red'>期望状态码: </font>201.0<Br/><font color='red'>实际状态码: </font>201<Br/><font color='red'>期望结果: </font>{'count': 1, 'sku_id': 3}<Br/><font color='red'>实际结果: </font>{'count': 1, 'selected': True, 'sku_id': 3}"
"passed","testcase.test_excel_case.TestExcel#test_run","206","<font color='red'>当前执行时间: </font> 2020-08-24 17:07:52<Br/><font color='red'>请求URL: </font> http://211.103.136.242:8064/authorizations/<Br/><font color='red'>请求类型: </font>POST<Br/><font color='red'>期望状态码: </font>400.0<Br/><font color='red'>实际状态码: </font>400<Br/><font color='red'>期望结果: </font>{'non_field_errors': ['无效数据。期待为字典类型，得到的是 str 。']}<Br/><font color='red'>实际结果: </font>{'non_field_errors': ['无效数据。期待为字典类型，得到的是 str 。']}"
"passed","testcase.test_excel_case.TestExcel#test_run","592","<font color='red'>当前执行时间: </font> 2020-08-24 17:07:54<Br/><font color='red'>请求URL: </font> http://211.103.136.242:8064/authorizations/<Br/><font color='red'>请求类型: </font>POST<Br/><font color='red'>期望状态码: </font>400.0<Br/><font color='red'>实际状态码: </font>400<Br/><font color='red'>期望结果: </font>{'non_field_errors': ['无法使用提供的认证信息登录。']}<Br/><font color='red'>实际结果: </font>{'non_field_errors': ['无法使用提供的认证信息登录。']}"
"passed","testcase.test_excel_case.TestExcel#test_run","1934","<font color='red'>当前执行时间: </font> 2020-08-24 17:08:14<Br/><font color='red'>请求URL: </font> http://211.103.136.242:8064/orders/<Br/><font color='red'>请求类型: </font>post<Br/><font color='red'>期望状态码: </font>201.0<Br/><font color='red'>实际状态码: </font>201<Br/><font color='red'>期望结果: </font>{'order_id': ''}<Br/><font color='red'>实际结果: </font>{'order_id': '20200824085614000000001'}"
"passed","testcase.test_excel_case.TestExcel#test_run","143","<font color='red'>当前执行时间: </font> 2020-08-24 17:07:53<Br/><font color='red'>请求URL: </font> http://211.103.136.242:8064/authorizations/<Br/><font color='red'>请求类型: </font>POST<Br/><font color='red'>期望状态码: </font>400.0<Br/><font color='red'>实际状态码: </font>400<Br/><font color='red'>期望结果: </font>{'password': ['该字段不能为空。']}<Br/><font color='red'>实际结果: </font>{'password': ['该字段不能为空。'], 'username': ['该字段不能为空。']}"
